komentar,clean_text,sentiment
Bangsat toko bodoh kirim sepatu yang kanan ukuran 43 terus yang kiri ukuran 33 goblok ga bagus toko sampah,bangsat toko bodoh kirim sepatu yang kanan ukur terus yang kiri ukur goblok tidak bagus toko sampah,positif
Ada retak sedikit dibagian bawah,ada retak sedikit bagi bawah,netral
"Sepatu sudah aku terima bagus sesuai dengan yang di pesan, tunggu hari Sabtu aku pakai tektok ke gunung Lemongan, semoga awet",sepatu sudah aku terima bagus sesuai dengan yang di pesan tunggu hari sabtu aku pakai tektok ke gunung long moga awet,positif
Bagus walau ada lem yang kebuka,bagus walau ada lem yang buka,positif
Pesen sepatu hoka datangnya sepatu lain warnanya beda lagi emang tolol karyawan buta semua yg dipekerjakan toko bodohh,sen sepatu hoka datang sepatu lain warna beda lagi emang tolol karyawan buta semua yang kerja toko bodohh,netral
"Pengecekan nya jelek, sekali pake langsung jebol",kece nya jelek sekali pake langsung jebol,negatif
kanan semua yang kiri mana ini kanan semua yang kiri mana yha,kanan semua yang kiri mana ini kanan semua yang kiri mana yha,netral
belum di pakai belakang nya sudah sobek dikit,belum di pakai belakang nya sudah sobek dikit,netral
Tali dan kualitas kurang bagus,tali dan kualitas kurang bagus,positif
Walaupun murah rapiin kek desain nya udah gtu bau lem paralon,walaupun murah rapiin kek desain nya udah gtu bau lem paralon,netral
kw warna asli sm digambar beda motif nya juga ga ada,kw warna asli sm gambar beda motif nya juga tidak ada,negatif
Kurang bagus warnanya budar semua/kurang jelas,kurang bagus warna budar semuakurang jelas,positif
paket sudah datang baru di bukaa lemnya udah ga kuat pesan:kasih lem yang lebih rapi belum sempet ku pake padahal ini sepatu malah lem mengkap,paket sudah datang baru di bukaa lem udah tidak kuat pesankasih lem yang lebih rapi belum sempet ku pake padahal ini sepatu malah lem kap,positif
chatnya ngelupas dan tapaknya keras kecewa banget next gak percaya lagi sama nih tokoh..,chatnya ngelupas dan tapak keras kecewa banget next gak percaya lagi sama nih tokoh,negatif
"Paket datang sudah lama, malah tali sepatu kurang 1, ta💩k",paket datang sudah lama malah tali sepatu kurang ta k,negatif
Bagus udah free koskali mantap deh,bagus udah free koskali mantap deh,positif
Sangat tidak memuaskan...barangnya jauh beda ..tlong kembalikan dana saya,sangat tidak memuaskanbarangnya jauh beda tlong kembali dana saya,netral
mantul sesuai pesanan dan sesuai harga.,mantul sesuai pesan dan sesuai harga,positif
"bagus sih rapi,tapi ada yang sobek di bagian tumin belakang tapi gak papa bisa aku jahit sendiri👍",bagus sih rapitapi ada yang sobek di bagi tumin belakang tapi gak papa bisa aku jahit sendiri,positif
Barang bagus tapi tidak sesuai harga,barang bagus tapi tidak sesuai harga,positif
"untuk harga nya lumayan murah, sesuai kualitas sepatu nya, cuman bau lem nya nyengat banget",untuk harga nya lumayan murah sesuai kualitas sepatu nya cuman bau lem nya nyengat banget,positif
"Bagus sih wort it lah harga segitu tapi bau catnya terlalu menyengat sampai baunya ga ilang2 di kamar,sama jaitannya kurang rapi di bagian lubang sepatu 🙏",bagus sih wort it lah harga segitu tapi bau cat terlalu sengat sampai bau tidak ilang di kamarsama jaitannya kurang rapi di bagi lubang sepatu,netral
"menurutku sepatunya dari look sesuai dengan di foto, sesuai lah dengan harga segitu, paling kurangnya kok bau lem yang menyengat ya, semoga next bisa diperbaiki",turut sepatu dari look sesuai dengan di foto sesuai lah dengan harga segitu paling kurang kok bau lem yang sengat ya moga next bisa baik,positif
"Bentuk dan ukuran: Bentuknya oke, ukuran pas Aroma: Bau lem Daya tahan pakai: Belum tau ,semoga awet Warna: Ok Overal ok aja untuk harga segini buat daily run lumayan mines bau nya aja sih",bentuk dan ukur bentuk oke ukur pas aroma bau lem daya tahan pakai belum tau moga awet warna ok overal ok aja untuk harga gin buat daily run lumayan mes bau nya aja sih,negatif
Produk kurang bagus kurang rapi ada lem Masi belepotan,produk kurang bagus kurang rapi ada lem mas belepotan,positif
Buat harga segitu mah ok bagus Aroma: Sangat menyengat banget bau cat ny Warna: Sesuai Daya tahan pakai: Mudahan awet Bentuk dan ukuran: Ukuran pas,buat harga segitu mah ok bagus aroma sangat sengat banget bau cat ny warna sesuai daya tahan pakai mudah awet bentuk dan ukur ukur pas,positif
"Bahan sepatu nya bagus , cuma packing an aja kurg bagus kotak nya penyok2",bahan sepatu nya bagus cuma packing an aja kurg bagus kotak nya penyok,positif
"Barang sesuai foto , semoga awet",barang sesuai foto moga awet,positif
Bagus cuma kok yang lain dapet bonus kaos kaki tapi punya saya kok gaada,bagus cuma kok yang lain dapet bonus kaos kaki tapi punya saya kok gaada,positif
"Bagus banget sih untuk harga segitu,nyaman enak juga di pakenya",bagus banget sih untuk harga segitunyaman enak juga di pakenya,positif
Aroma: bau lem Warna: warna baik lah lumayan kya di fto Daya tahan pakai: lemnya mudah copot Bentuk dan ukuran: baik,aroma bau lem warna warna baik lah lumayan kya di fto daya tahan pakai lem mudah copot bentuk dan ukur baik,netral
Kurang kuat dilem tapi sangat bagus sepatunya,kurang kuat lem tapi sangat bagus sepatu,positif
Sepatu apaan ini bau lem kaya sandal suwalow dan juga ga empuk,sepatu apa ini bau lem kaya sandal suwalow dan juga tidak empuk,negatif
Kurang bagus lem perekat nya Desain nya jelek ga sesuai gambar,kurang bagus lem rekat nya desain nya jelek tidak sesuai gambar,netral
Bagus si cuma ada minus nya,bagus si cuma ada minus nya,positif
"Bentuk dan ukuran: Pas bagus, sepatunya ringan bangetttt",bentuk dan ukur pas bagus sepatu ringan bangetttt,positif
"yaa baguslah, saran aja mas packing nya di kembangin lagi aja mas soalnya box nya ga tahan penyok penyok",yaa bagus saran aja mas packing nya di kembangin lagi aja mas soal box nya tidak tahan penyok penyok,positif
bagus tapi kekecilan 😌😌,bagus tapi kecil,positif
Cocok tapi belakangnya jahitannya agak kurang udh jebol dipake sekali,cocok tapi belakang jahit agak kurang udh jebol dipake sekali,netral
warna nya tidak sesui degang di foto,warna nya tidak sesui degang di foto,netral
Singkat sjah sya ksih 100 % untuk kurir ny. Orang ny ramah dan sopan,singkat sjah sya ksih untuk kurir ny orang ny ramah dan sopan,netral
outsole keras,outsole keras,netral
Talinya cuma 1,tali cuma,netral
Barang sesuai pesenan,barang sesuai sen,positif
Sesuai dg harganya,sesuai dg harga,positif
ringan berkulaitas,ringan berkulaitas,netral
ya oke lah dengan harga segitu,ya oke lah dengan harga segitu,netral
salah warnaa,salah warnaa,netral
warnanya tidak sesuai,warna tidak sesuai,netral
Mantapp👍,mantapp,positif
paket nya lama datang nya telat 2 h,paket nya lama datang nya telat h,negatif
Sesuai pesanan,sesuai pesan,positif
Jelek,jelek,negatif
1 kali pakeee jebollll langsung,kali pakeee jebollll langsung,netral
Sesuai,sesuai,positif
43 serasa 41,serasa,netral
Best,best,netral
Bagus,bagus,positif
"Real pict, keren👍",real pict keren,netral
Bagus..,bagus,positif
baik,baik,positif
Manteb poll😍😍,manteb poll,netral
Pass bangt,pass bangt,netral
Better lah..,better lah,netral
Good products,good products,netral
Real pict dan semoga awet,real pict dan moga awet,netral
Pengiriman lambat 🙏,kirim lambat,netral
Bagus kali ini,bagus kali ini,positif
Mantap lah,mantap lah,positif
lumayan,lumayan,netral
pesan warna apa datang warna apa,pesan warna apa datang warna apa,netral
Okelah,oke,netral
ukuran yang dikirim 43,ukur yang kirim,netral
Ok,ok,netral
Lumayan lah,lumayan lah,netral
Lumayan,lumayan,netral
Blum di coba,blum di coba,netral
Terima kasih,terima kasih,netral
Ya lumayan,ya lumayan,netral
Lumayan semoga aj awat,lumayan moga aj awat,netral
Salah warna,salah warna,netral
tidak sesuai warna,tidak sesuai warna,netral
"Bagus warna sama, kualitas ga murahan harga cuman ratusan ribu wort itu lah, ukuran nya juga pas, ringan bangett",bagus warna sama kualitas tidak murah harga cuman ratus ribu wort itu lah ukur nya juga pas ringan bangett,positif
Terimakasih kk paket nya di terima dgan sangat baik Semoga awet tahan lma Bentuk dan ukuran: Bagus Warna: Belu silver,terimakasih kk paket nya di terima dgan sangat baik moga awet tahan lma bentuk dan ukur bagus warna belu silver,positif
Cuman di cet kaitannya gak rapi pokok nya gak rekonendit,cuman di cet kait gak rapi pokok nya gak rekonendit,netral
Paket sudah saya Terima semoga awet packingnya juga rapi sesuaiii pesanan banget pokoknya ukuran dan bentuk juga sesuai semoga awett,paket sudah saya terima moga awet packingnya juga rapi sesuaiii pesan banget pokok ukur dan bentuk juga sesuai moga awett,positif
"Ukuran pas,cuma sayang banget ada lecet sama bagian belakang dua dua nya kurang pas sama insol ya",ukur pascuma sayang banget ada lecet sama bagi belakang dua dua nya kurang pas sama insol ya,netral
Pengiriman cepat barang bagus sesuai harga bonus kaos kaki pas dikaki Bentuk dan ukuran: Pas Daya tahan pakai: Semoga awet Warna: Cerah,kirim cepat barang bagus sesuai harga bonus kaos kaki pas kaki bentuk dan ukur pas daya tahan pakai moga awet warna cerah,positif
"Barangnya mantul👍👍👍, Bahan bgus l, ringan dan nyaman dipakai, minesnya bonus kaos kakinya tipis kali bos😀, tpi amanlah, jgn ragu belanja d toko ini 👍👍👍👍👍",barang mantul bahan bgus l ringan dan nyaman pakai mes bonus kaos kaki tipis kali bos tpi aman jgn ragu belanja d toko ini,netral
"Bentuk dan ukuran: Bagus dan pas Warna: Sesuai gambar Sepatunya bagus ringan dan sesuai pesanan, semoga awet.",bentuk dan ukur bagus dan pas warna sesuai gambar sepatu bagus ringan dan sesuai pesan moga awet,positif
"Sepatux bagus bgy, sesuai expectasi. Ringan empuk di pakex ukuranx jg pas",sepatux bagus bgy sesuai expectasi ringan empuk di pakex ukuranx jg pas,positif
Paket sesuai dengan pesanan kualitas lumaian bagus sesuai harga Cocok untuk olahraga,paket sesuai dengan pesan kualitas lumai bagus sesuai harga cocok untuk olahraga,positif
Bahan bagus pengiriman cepat dapat gratis kaos kaki juga maksh 🙏,bahan bagus kirim cepat dapat gratis kaos kaki juga maksh,positif
Terim kasih ya. Barang sesuai pesanan dan nyaman di pakai,rim kasih ya barang sesuai pesan dan nyaman di pakai,positif
Bentuk dan ukuran: Sesuai dan pas Warna: Sesuai gambar,bentuk dan ukur sesuai dan pas warna sesuai gambar,positif
"Bentuk dan ukuran: bagusss ukuran agak kebesaran , dateng nyaa jugaa cepet Warna: jugaa baguss bangedd sukaa deh pokokk nyaaa",bentuk dan ukur bagusss ukur agak besar dateng nyaa jugaa cepet warna jugaa baguss bangedd sukaa deh pokokk nyaaa,positif
"bagus banget guys sepatu nya jangan ragu beli di toko ini, sepatu nya bisa decit🤩",bagus banget guys sepatu nya jangan ragu beli di toko ini sepatu nya bisa decit,positif
Bentuk dan ukuran: Bentuk nya bagus ukuran nya juga pas Daya tahan pakai: Di jamin kuat Warna: Sesuai,bentuk dan ukur bentuk nya bagus ukur nya juga pas daya tahan pakai di jamin kuat warna sesuai,positif
"Sesuai expectasi bagus, nyaman, Bentuk dan ukuran: 39 Warna: Putih tosca Daya tahan pakai: Ringan",sesuai expectasi bagus nyaman bentuk dan ukur warna putih tosca daya tahan pakai ringan,positif
Bru kasih ulasan... Pas ukurannya...cepat.pengirimannya,bru kasih ulas pas ukurannyacepatpengirimannya,positif
Alhamdulillah paket cpet dteng anakku sukaaa baguss spatunya ringan.. kurir juga ok,alhamdulillah paket cpet dteng anak sukaaa baguss spatunya ringan kurir juga ok,positif
Alhamdulillah barangnya dah sampai sesuai pesanan semoga awet ya buat pertandingan voli😍🥰,alhamdulillah barang dah sampai sesuai pesan moga awet ya buat tanding voli,positif
Pengiriman cepat barang oke thx seller 👌,kirim cepat barang oke thx seller,positif
Bgus semoga awet buat voli kg cepat rusak takutnya di pke sekali da copot,bgus moga awet buat voli kg cepat rusak takut di pke sekali da copot,netral
gas kalian co sekarang!!!! ini sepatu the best banget ringan empuk nyaman pas di kaki,gas kalian co sekarang ini sepatu the best banget ringan empuk nyaman pas di kaki,netral
Bentuk dan ukuran: bentuk bagus dan ukuran nya pas,bentuk dan ukur bentuk bagus dan ukur nya pas,positif
Bentuk dan ukuran: Sesuai Daya tahan pakai: Semoga awet,bentuk dan ukur sesuai daya tahan pakai moga awet,positif
"sesuai harga sih ringan,bagus,bahan elastis",sesuai harga sih ringanbagusbahan elastis,positif
Keren dan bagus untuk harga segini wort sih,keren dan bagus untuk harga gin wort sih,positif
barang bagus sesuai yang di inginkan👍🏻👍🏻👍🏻,barang bagus sesuai yang di ingin,positif
mantab untuk harga segini tapi ukuran 38 kekecilan,mantab untuk harga gin tapi ukur kecil,netral
Bentuk dan ukuran: Passs enak di pakai Aroma: Aroma spatu baru Daya tahan pakai: ??? Harga segini not bad sih,bentuk dan ukur passs enak di pakai aroma aroma spatu baru daya tahan pakai harga gin not bad sih,netral
Oke....realpick...barangnya bagus...sesuai dgn harga y...,okerealpickbarangnya bagussesuai dgn harga y,positif
Bentuk dan ukuran: Sesuai bagus produk nya....kurir sangat ramah,bentuk dan ukur sesuai bagus produk nyakurir sangat ramah,positif
"barang nya bagus dah sesuai di foto, pokok nya gak nyesel beli lagi💙",barang nya bagus dah sesuai di foto pokok nya gak nyesel beli lagi,positif
"modelnya keren, ringan.. utk kualitas sesuai harga lah..",model keren ringan utk kualitas sesuai harga lah,positif
Barang nya bagus sesuai dgn yang ad di gambar,barang nya bagus sesuai dgn yang ad di gambar,positif
Sepatu nya pas di kaki nyaman dan warna keren,sepatu nya pas di kaki nyaman dan warna keren,netral
Alhamdulillah bagus sekali barang ny juga bagus sesuai lh sama harga nya...,alhamdulillah bagus sekali barang ny juga bagus sesuai lh sama harga nya,positif
Bentuk dan ukuran: Modern ukuran pass,bentuk dan ukur modern ukur pass,netral
"Sepatu voli nya bagus. Anak saya suka memakai nya. Thx ya seller, tiktok and kurir nya. Sukses sll buat semua nya ya",sepatu voli nya bagus anak saya suka pakai nya thx ya seller tiktok and kurir nya sukses sll buat semua nya ya,positif
tidak espek kalau dateng nyaa secepet itu dan barang sesuai,tidak espek kalau dateng nyaa secepet itu dan barang sesuai,positif
Bagus banget pokoknya otw order lagi 🤩,bagus banget pokok otw order lagi,positif
Baguss banget cocokk buat langganan,baguss banget cocokk buat langgan,positif
Waa mantap....bangusss warna nyaa dan ringannnn🙏,waa mantapbangusss warna nyaa dan ringannnn,positif
Sepatu nya sesuai pesanan😍pengiriman cepat terima kasih,sepatu nya sesuai pesan kirim cepat terima kasih,positif
bagus enteng sesuai dgn di fotonya,bagus enteng sesuai dgn di foto,positif
Bagus Sama persis dengan yang di gambar,bagus sama persis dengan yang di gambar,positif
Bentuk dan ukuran: pas Daya tahan pakai: puas dan nyaman Warna: sesuai dengan pesanan,bentuk dan ukur pas daya tahan pakai puas dan nyaman warna sesuai dengan pesan,positif
Alhamdulillah sudah sampai pesanan yang kedua kalinya puas banget makasih untuk semuanya,alhamdulillah sudah sampai pesan yang dua kali puas banget makasih untuk semua,positif
Bentuk dan ukuran: bagus Aroma: bagus Daya tahan pakai: bagus,bentuk dan ukur bagus aroma bagus daya tahan pakai bagus,positif
ga prlu kata kata yaa cukup d liat aja yaa,tidak prlu kata kata yaa cukup d liat aja yaa,netral
"Mantap , ringan jg",mantap ringan jg,positif
bagus bangetttt😭ga nyesel nanti beli lagiii di sinii kurir juga ramah bintang lima dehh pokoknyaa,bagus bangetttt ga nyesel nanti beli lagiii di sini kurir juga ramah bintang lima dehh pokoknyaa,positif
Barang bagus sesuai harga cuman kekecilan harusnya no 42,barang bagus sesuai harga cuman kecil harus no,positif
Mantap udah sampe barang nya sesuai harga,mantap udah sampe barang nya sesuai harga,positif
Barangnya mantap sesuai dgn harga,barang mantap sesuai dgn harga,positif
Warna sesuai gambar pas dikaki dan nyaman,warna sesuai gambar pas kaki dan nyaman,positif
Aslinya cantik Aroma: Baru Bentuk dan ukuran: Pas sesuai ukuran yang di pesan,asli cantik aroma baru bentuk dan ukur pas sesuai ukur yang di pesan,positif
Lumayan sesuai harga...yg pasti anakku seneng makainya...meskipun sepatunya g ori,lumayan sesuai hargayg pasti anak neng makainyameskipun sepatu g ori,positif
Produk nya bagus ukurannya pass gak nyesel sedah beli,produk nya bagus ukur pass gak nyesel dah beli,positif
"barang sampai dengan selamat tidak ada yang rusak, ukuran sesuai dengan yang di beli",barang sampai dengan selamat tidak ada yang rusak ukur sesuai dengan yang di beli,negatif
"Sangat cocok dan pas di kaki saat di pakai, realpict..",sangat cocok dan pas di kaki saat di pakai realpict,netral
Harga terjangkau..qualitas ok,harga terjangkauqualitas ok,netral
"Bentuk dan ukuran: Sesuai size 41,white navy Daya tahan pakai: Belum di coba Bonus kaos kaki, kurir langganan,thanks kurir,thanks seller",bentuk dan ukur sesuai size white navy daya tahan pakai belum di coba bonus kaos kaki kurir langgananthanks kurirthanks seller,positif
Barangnya bagus sesuai harganya kurirnya ramah,barang bagus sesuai harga kurir ramah,positif
"Bagus,tapi sayang aku ukurannya kebesaran salah ambil",bagustapi sayang aku ukur besar salah ambil,positif
Sangat bagus dan puas.cpat dtgnya jga dan sangat nyaman di pakai/ringsn,sangat bagus dan puascpat dtgnya jga dan sangat nyaman di pakairingsn,positif
Bentuk dan ukuran: Sesuai Warna: Mantap Recommended lah buat belanja di toko ini,bentuk dan ukur sesuai warna mantap recommended lah buat belanja di toko ini,positif
"Barang sudah datang..kualitas sesuai hargà,pengiriman cepat",barang sudah datangkualitas sesuai harg kirim cepat,positif
"Barang datang sesuai pesanan,,,dipakai bagus",barang datang sesuai pesanandipakai bagus,positif
"Paket dah sampai, bagus sesuai pesanan",paket dah sampai bagus sesuai pesan,positif
"barangnya bagus realfict saya sangat puas,cuma agak terlambat sih pengirimannya..",barang bagus realfict saya sangat puascuma agak lambat sih kirim,positif
Produk nya bagus banget aku suka sama warna nya bagus,produk nya bagus banget aku suka sama warna nya bagus,positif
Barangnya bagus wajib beli di sini si,barang bagus wajib beli di sini si,positif
josjis sepatu nya gak licin sama sekali 👍🏻👍🏻👍🏻,josjis sepatu nya gak licin sama sekali,netral
ukuranxa pas dan ringan,ukuranxa pas dan ringan,netral
"bagussssss bagettt sesuai expetasi, free kaos kaki jugaa",bagussssss bagettt sesuai expetasi free kaos kaki jugaa,positif
Bagus mntep seller ny juga fast respon,bagus mntep seller ny juga fast respon,positif
Terima kasih KK sepatunya bgus n ringan utk pke olahraga,terima kasih kk sepatu bgus n ringan utk pke olahraga,netral
Sesuai ekspektasi kereeeeen 🔝🔝🔝🔝,sesuai ekspektasi kereeeeen,positif
"Jang ragu lgi guys klo mau beli septu di tokoh kakak ini, sdh pasti jos lah🤗",jang ragu lgi guys klo mau beli septu di tokoh kakak ini sdh pasti jos lah,netral
"Maf baru kasih ulasan, sepatu bgus enk di pake makasih kurirny juga ramah",maf baru kasih ulas sepatu bgus enk di pake makasih kurirny juga ramah,netral
Bentuk dan ukuran: sippp kerenn dann pass,bentuk dan ukur sippp kerenn dann pass,netral
"Ukuran sesuai,model ok banget,ringan",ukur sesuaimodel ok bangetringan,positif
"pokonya keren dehhh, ga kecewa sama sekali dengan barang nya",poko keren dehhh tidak kecewa sama sekali dengan barang nya,negatif
"Mantap, Sesusai pesana,",mantap sesusai sana,positif
Realpict... Sepatunya ringan..anak ku suka .dpt free kaoskaki,realpict sepatu ringananak ku suka dpt free kaoskaki,netral
"Mantap, sesuai dengan di foto",mantap sesuai dengan di foto,positif
Sangat cocok dan barang sampai dengan selamat,sangat cocok dan barang sampai dengan selamat,negatif
Sumpah datengnya bagus banget ngk rugi dong beli di toko ini,sumpah datengnya bagus banget ngk rugi dong beli di toko ini,positif
Maaf baru tulis ulasan.sepatu bagus sesuai gambar 👍👍👍👍,maaf baru tulis ulasansepatu bagus sesuai gambar,positif
bagus banget dan pass🤩🤩🤩🤩🤩🤩,bagus banget dan pass,positif
sepatu olahraga untuk harga segitu sudah bagus,sepatu olahraga untuk harga segitu sudah bagus,positif
Sesuai postingan dan semoga awet,sesuai postingan dan moga awet,positif
Mantap ada kaos nya juga ? 👍,mantap ada kaos nya juga,positif
Maaf baru kasih ulasan barang bagus sesuai dgn yg di pesan,maaf baru kasih ulas barang bagus sesuai dgn yang di pesan,positif
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰waw🥰🥰🥰,waw,netral
"Barang sudah sampai sesuai pesanan, terimakasih seller.",barang sudah sampai sesuai pesan terimakasih seller,positif
Bentuk dan ukuran: pass dann baguss,bentuk dan ukur pass dann baguss,positif
Alhamdulillah pesanan sudah sampai. Cepat sekali. Tapi belum unboxing nih..,alhamdulillah pesan sudah sampai cepat sekali tapi belum unboxing nih,positif
"Barang sesuai,pengiriman cepat",barang sesuaipengiriman cepat,positif
Barangnya sangat sesuai dan baguss,barang sangat sesuai dan baguss,positif
Kualitasss sangat bagusss👍👍👍👍,kualitasss sangat bagusss,positif
"Barang datang sesuai pesanan,,cakep",barang datang sesuai pesanancakep,positif
Bagus ringan,bagus ringan,positif
Bagus ringan 👍👍,bagus ringan,positif
"bagus,enteng top bgt",bagusenteng top banget,positif
mantap ukuran nya pas dan sepatu keren,mantap ukur nya pas dan sepatu keren,positif
Barang bagus sesuai terimakasii,barang bagus sesuai terimakasii,positif
barang nya memang terbaikk👍,barang nya memang terbaikk,positif
Terimakasih Barang sudah sampai...,terimakasih barang sudah sampai,netral
"pengiriman cepat , warna sesuai pesanan",kirim cepat warna sesuai pesan,positif
alahamdulillah anaku suka banget,alahamdulillah ana suka banget,netral
Sepatunya bgs suka pkk nya,sepatu bgs suka pkk nya,netral
Paketnya sesuai dng pemesanan👍🏻👍🏻 Mantap,paket sesuai dng mesan mantap,positif
Wort it lah sama harganya,wort it lah sama harga,netral
"Sudah sampai dengan aman dan kurirnya ramah, terimakasih 👃",sudah sampai dengan aman dan kurir ramah terimakasih,netral
Sesuai pesanan anak saya suka,sesuai pesan anak saya suka,positif
Sudah smpe sepatunya bagus deh pokoknya semoga awet trmkasih semua,sudah smpe sepatu bagus deh pokok moga awet trmkasih semua,positif
sesuai gambar,sesuai gambar,positif
Barang sudah sampai sesuai peasanan,barang sudah sampai sesuai peasanan,positif
"Pas denga yang di gambar, keren",pas denga yang di gambar keren,netral
Bahan bagus kurir ramah,bahan bagus kurir ramah,positif
Bentuk dan ukuran: Pas,bentuk dan ukur pas,netral
Pass..😁,pass,netral
Warnanya kurang cerah,warna kurang cerah,netral
Bagusss adeku sukaaa❤️❤️,bagusss adeku sukaaa,positif
Mantap asli bagus sih,mantap asli bagus sih,positif
Bagus sepatunya,bagus sepatu,positif
Sesuai dgn harga,sesuai dgn harga,positif
Ok lh we,ok lh we,netral
Mantap nyaman,mantap nyaman,positif
Paker udah nyampe Psanan sesuai mantap👍👍,paker udah nyampe psanan sesuai mantap,positif
Mengkece emang brooo,kece emang brooo,netral
mantap,mantap,positif
Mantap 👍,mantap,positif
Terimakasih barang puas,terimakasih barang puas,positif
Size pas dan anakku suka,size pas dan anak suka,netral
Nice,nice,netral
Barangnya sangat bagus,barang sangat bagus,positif
bagus sesuai gambar,bagus sesuai gambar,positif
Bagus dan realpick semoga awet,bagus dan realpick moga awet,positif
Sesuai dengan keinginan saya,sesuai dengan ingin saya,positif
barangnya bgus mudahan awet,barang bgus mudah awet,netral
Barang sesuai,barang sesuai,positif
bagusss dan sesuai,bagusss dan sesuai,positif
Mantap rekomen banget,mantap rekomen banget,positif
Bagus banget,bagus banget,positif
Terimakasih 🙏,terimakasih,netral
Mantap sesuai pesanan,mantap sesuai pesan,positif
sesuaii sama yng fotoo,sesuai sama yng fotoo,positif
Ok sip lah dgn harga segitu,ok sip lah dgn harga segitu,netral
The best 💝,the best,netral
Mksh sepatu nya udh sampe realpict,mksh sepatu nya udh sampe realpict,netral
sepatu nya bagus,sepatu nya bagus,positif
Sesuai Bagus matap,sesuai bagus matap,positif
Kren dan mantap,kren dan mantap,positif
Kren habis,kren habis,netral
Worth it buat harga segini,worth it buat harga gin,netral
Sangat bagus,sangat bagus,positif
Rekomendasi 👍,rekomendasi,positif
Bagus pol👍👍👍👍,bagus pol,positif
Sesaui harga sih sepatu nya,sau harga sih sepatu nya,netral
Sesuai dengan pesanan,sesuai dengan pesan,positif
Mantap sesuay sama Poto,mantap sesuay sama poto,positif
Bagus realpict,bagus realpict,positif
Bismillah semoga awet sampe tua,bismillah moga awet sampe tua,netral
Bagusd,bagusd,positif
Sesuai harga,sesuai harga,positif
Bagus 👍,bagus,positif
Bagus,bagus,positif
bagus,bagus,positif
mantap mamang,mantap mamang,positif
Aroma: Mantap,aroma mantap,positif
Paketnya sudah saya Terima mantul,paket sudah saya terima mantul,netral
Mantal,mantal,netral
Ngs,ngs,netral
sipp,sipp,netral
B,b,netral
So so,so so,netral
Aku suka bagus,aku suka bagus,positif
Mantap,mantap,positif
sip mantap min,sip mantap min,positif
Sipppppp,sipppppp,netral
Warna: Bagus,warna bagus,positif
Mantul juga deh,mantul juga deh,netral
Baguss mantapp👍,baguss mantapp,positif
Bagussss,bagussss,positif
Mantap uyyy,mantap uyyy,positif
Ok,ok,netral
dengan harga segitu okelah,dengan harga segitu oke,netral
Bagus bangeeeeeettttttttttt,bagus bangeeeeeettttttttttt,positif
Barang sampai dengan selamat,barang sampai dengan selamat,negatif
Sangat puas terimakasih,sangat puas terimakasih,positif
Realpict...smga awet,realpictsmga awet,netral
👍,,netral
👍👍👍,,netral
Biar bintang yg berbicara,biar bintang yang bicara,netral
Terimakasih kk paket nya di terima dgan sangat baik Semoga awet tahan lma Bentuk dan ukuran: Bagus Warna: Belu silver,terimakasih kk paket nya di terima dgan sangat baik moga awet tahan lma bentuk dan ukur bagus warna belu silver,positif
Cuman di cet kaitannya gak rapi pokok nya gak rekonendit,cuman di cet kait gak rapi pokok nya gak rekonendit,netral
"Ukuran pas,cuma sayang banget ada lecet sama bagian belakang dua dua nya kurang pas sama insol ya",ukur pascuma sayang banget ada lecet sama bagi belakang dua dua nya kurang pas sama insol ya,netral
Bentuk dan ukuran: pass Tidak salah barangnya di jamin👍,bentuk dan ukur pass tidak salah barang di jamin,netral
Sangat mengecewakan tidak sesuaai expetasi bahan bawah nya kirain karet ternyata bukan tapi gpp lah sudah terlanjur,sangat kecewa tidak sesuaai expetasi bahan bawah nya kirain karet nyata bukan tapi gpp lah sudah lanjur,negatif
"Lumayan bagus barangnya dengan harga segitu.. cuman dosnya hancur, dan tali sepatu nya sangat tipis.. tpi untuk kualitas sepatu dengan harga terjangkau ini sudah termasuk bagus.. terima kasihh",lumayan bagus barang dengan harga segitu cuman dos hancur dan tali sepatu nya sangat tipis tpi untuk kualitas sepatu dengan harga jangkau ini sudah masuk bagus terima kasihh,positif
"Nyesal gak sesuai ekspetasi tipis dalamnya, pokoknya nyesal saya pesan.",nyesal gak sesuai ekspetasi tipis dalam pokok nyesal saya pesan,positif
Gak ada bolongannya buat masuk kin tali sepatu nya dan kyak ad yang rusak👎,gak ada bolong buat masuk kin tali sepatu nya dan kyak ad yang rusak,negatif
